category_zh,category_en,category_el,name_zh,name_en,name_el,description_zh,description_en,description_el,price,image_url,is_available,sort_order
"炒饭","Fried Rice","ΤΗΓΑΝΗΤΟ ΡΥΖΙ","75. 米饭 Ατμού","75. Rice Ατμού","75. Ρύζι Ατμού","","","","3","","true","9001"
"炒饭","Fried Rice","ΤΗΓΑΝΗΤΟ ΡΥΖΙ","76. 炒/炸 米饭 配 鸡蛋","76. Fried Rice with Egg","76. Τηγανητό Ρύζι με Αυγό","","","","8.9","","true","9002"
"炒饭","Fried Rice","ΤΗΓΑΝΗΤΟ ΡΥΖΙ","77. 炒/炸 米饭 配 牛肉","77. Fried Rice with Beef","77. Τηγανητό Ρύζι με Μοσχάρι","","","","11.5","","true","9003"
"炒饭","Fried Rice","ΤΗΓΑΝΗΤΟ ΡΥΖΙ","78. 炒/炸 米饭 配 蔬菜","78. Fried Rice with Vegetables","78. Τηγανητό Ρύζι με Λαχανικά","","","","9.9","","true","9004"
"炒饭","Fried Rice","ΤΗΓΑΝΗΤΟ ΡΥΖΙ","79. 炒/炸 米饭 配 鸭肉","79. Fried Rice with Duck","79. Τηγανητό Ρύζι με Πάπια","","","","11.9","","true","9005"
"炒饭","Fried Rice","ΤΗΓΑΝΗΤΟ ΡΥΖΙ","80. 炒/炸 米饭 配 鸡肉","80. Fried Rice with Chicken","80. Τηγανητό Ρύζι με Κοτόπουλο","","","","10.9","","true","9006"
"炒饭","Fried Rice","ΤΗΓΑΝΗΤΟ ΡΥΖΙ","81. 炒/炸 米饭 配 猪肉","81. Fried Rice with Pork","81. Τηγανητό Ρύζι με Χοιρινό","","","","10.9","","true","9007"
"炒饭","Fried Rice","ΤΗΓΑΝΗΤΟ ΡΥΖΙ","82. 炒/炸 米饭 配 海鲜","82. Fried Rice with Seafood","82. Τηγανητό Ρύζι με Θαλασσινά","","","","12.9","","true","9008"
"炒饭","Fried Rice","ΤΗΓΑΝΗΤΟ ΡΥΖΙ","83. 炒/炸 米饭 配 虾","83. Fried Rice with Shrimp","83. Τηγανητό Ρύζι με Γαρίδες","","","","13.5","https://wolt-menu-images-cdn.wolt.com/menu-images/613a080471a7ebf726042884/8ba8e198-1b70-11ec-93bb-3217bb67b981_wok5.jpeg","true","9009"
"炒饭","Fried Rice","ΤΗΓΑΝΗΤΟ ΡΥΖΙ","84. 炒/炸 米饭 Yeung Chau","84. Fried Rice Yeung Chau","84. Τηγανητό Ρύζι Yeung Chau","炒/炸 ρύζι 配 χοιρινό, γαρίδες 和 λαχανικά","Fried ρύζι with χοιρινό, γαρίδες and λαχανικά","Τηγανητό ρύζι με χοιρινό, γαρίδες και λαχανικά","12.5","","true","9010"
"鸭肉","Duck","ΠΑΠΙΑ","90. 鸭肉 烤","90. Duck Roasted","90. Πάπια Ψητή","1/2","1/2","1/2","26.9","","true","10001"
"鸭肉","Duck","ΠΑΠΙΑ","91. 鸭肉 烤 配 Ανανά","91. Duck Roasted with Ανανά","91. Πάπια Ψητή με Ανανά","","","","16.5","","true","10002"
"鸭肉","Duck","ΠΑΠΙΑ","92. 鸭肉 烤 配 Πορτοκάλι","92. Duck Roasted with Πορτοκάλι","92. Πάπια Ψητή με Πορτοκάλι","","","","16.5","","true","10003"
"鸭肉","Duck","ΠΑΠΙΑ","93. 鸭肉 烤","93. Duck Roasted","93. Πάπια Ψητή","1/4","1/4","1/4","14.9","","true","10004"
"鸭肉","Duck","ΠΑΠΙΑ","94. Pancake 鸭肉 Πεκίνου 1/4","94. Pancake Duck Πεκίνου 1/4","94. Pancake Πάπια Πεκίνου 1/4","","","","17.9","https://wolt-menu-images-cdn.wolt.com/menu-images/613a080471a7ebf726042884/61c116dc-1d34-11ec-93c7-d69bdcc001e5_d.jpeg","true","10005"
"鸭肉","Duck","ΠΑΠΙΑ","95. Pancake 鸭肉 Πεκίνου 1/2","95. Pancake Duck Πεκίνου 1/2","95. Pancake Πάπια Πεκίνου 1/2","","","","34.9","","true","10006"
"鸭肉","Duck","ΠΑΠΙΑ","96. Pancake 鸭肉 Πεκίνου 1/1","96. Pancake Duck Πεκίνου 1/1","96. Pancake Πάπια Πεκίνου 1/1","","","","65","","true","10007"
"鸭肉","Duck","ΠΑΠΙΑ","97. Ανά配ικτα Ψητά Tja Sieuw, Τραγανό 猪肉 和 烤 鸭肉","97. Ανάwithικτα Ψητά Tja Sieuw, Τραγανό Pork and Roasted Duck","97. Ανάμεικτα Ψητά Tja Sieuw, Τραγανό Χοιρινό και Ψητή Πάπια","","","","32","","true","10008"
"鸭肉","Duck","ΠΑΠΙΑ","98. Ανά配ικτα Ψητά Τραγανό 猪肉 和 烤 鸭肉","98. Ανάwithικτα Ψητά Τραγανό Pork and Roasted Duck","98. Ανάμεικτα Ψητά Τραγανό Χοιρινό και Ψητή Πάπια","","","","24.9","","true","10009"
"鸭肉","Duck","ΠΑΠΙΑ","99. Ανά配ικτα Ψητά Tja Sieuw 和 烤 鸭肉","99. Ανάwithικτα Ψητά Tja Sieuw and Roasted Duck","99. Ανάμεικτα Ψητά Tja Sieuw και Ψητή Πάπια","","","","24.9","","true","10010"
"鸭肉","Duck","ΠΑΠΙΑ","100. Ανά配ικτα Ψητά Tja Sieuw 和 Τραγανό 猪肉","100. Ανάwithικτα Ψητά Tja Sieuw and Τραγανό Pork","100. Ανάμεικτα Ψητά Tja Sieuw και Τραγανό Χοιρινό","","","","24.9","","true","10011"
"牛肉","Beef","ΜΟΣΧΑΡΙ","105. 牛肉 配 酱 Kung Pao","105. Beef with Sauce Kung Pao","105. Μοσχάρι με Σάλτσα Kung Pao","Καυτερό","Καυτερό","Καυτερό","13.9","","true","11001"
"牛肉","Beef","ΜΟΣΧΑΡΙ","106. 牛肉 配 Thai Sauce","106. Beef with Thai Sauce","106. Μοσχάρι με Thai Sauce","Καυτερό","Καυτερό","Καυτερό","13.9","","true","11002"
"牛肉","Beef","ΜΟΣΧΑΡΙ","107. 牛肉 配 Black Bean Sauce","107. Beef with Black Bean Sauce","107. Μοσχάρι με Black Bean Sauce","","","","13.9","","true","11003"
"牛肉","Beef","ΜΟΣΧΑΡΙ","108. 牛肉 配 Πιπέρι 和 Αλάτι","108. Beef with Πιπέρι and Αλάτι","108. Μοσχάρι με Πιπέρι και Αλάτι","Καυτερό","Καυτερό","Καυτερό","13.9","","true","11004"
"牛肉","Beef","ΜΟΣΧΑΡΙ","109. 牛肉 Sichuan","109. Beef Sichuan","109. Μοσχάρι Sichuan","","","","13.9","","true","11005"
"牛肉","Beef","ΜΟΣΧΑΡΙ","110. 牛肉 配 蔬菜","110. Beef with Vegetables","110. Μοσχάρι με Λαχανικά","","","","13.9","","true","11006"
"牛肉","Beef","ΜΟΣΧΑΡΙ","111. 牛肉 配 咖喱","111. Beef with Curry","111. Μοσχάρι με Κάρυ","","","","13.9","","true","11007"
"牛肉","Beef","ΜΟΣΧΑΡΙ","112. 牛肉 配 酱 Στρειδιών","112. Beef with Sauce Στρειδιών","112. Μοσχάρι με Σάλτσα Στρειδιών","","","","13.9","","true","11008"
"牛肉","Beef","ΜΟΣΧΑΡΙ","113. 牛肉 配 Μπρόκολο","113. Beef with Μπρόκολο","113. Μοσχάρι με Μπρόκολο","","","","13.9","","true","11009"
"牛肉","Beef","ΜΟΣΧΑΡΙ","114. 牛肉 配 Πιπερόριζα 和 Κρεμμύδια","114. Beef with Πιπερόριζα and Κρεμμύδια","114. Μοσχάρι με Πιπερόριζα και Κρεμμύδια","","","","17.9","","true","11010"
"牛肉","Beef","ΜΟΣΧΑΡΙ","115. 汤 Μοσχαριού 配 Chili","115. Soup Μοσχαριού with Chili","115. Σούπα Μοσχαριού με Chili","","","","29.9","","true","11011"
"鸡肉","Chicken","ΚΟΤΟΠΟΥΛΟ","120. 鸡肉 配 酱 Kung Pao","120. Chicken with Sauce Kung Pao","120. Κοτόπουλο με Σάλτσα Kung Pao","Καυτερό","Καυτερό","Καυτερό","11.9","","true","12001"
"鸡肉","Chicken","ΚΟΤΟΠΟΥΛΟ","121. 鸡肉 配 Thai Sauce","121. Chicken with Thai Sauce","121. Κοτόπουλο με Thai Sauce","Καυτερό","Καυτερό","Καυτερό","11.9","https://wolt-menu-images-cdn.wolt.com/menu-images/613a080471a7ebf726042884/4b799d14-1b71-11ec-a2f5-42d0deb10ffb_wok16.jpeg","true","12002"
"鸡肉","Chicken","ΚΟΤΟΠΟΥΛΟ","122. 鸡肉 配 Black Bean Sauce","122. Chicken with Black Bean Sauce","122. Κοτόπουλο με Black Bean Sauce","","","","11.9","","true","12003"
"鸡肉","Chicken","ΚΟΤΟΠΟΥΛΟ","123. 鸡肉 配 Πιπέρι 和 Αλάτι","123. Chicken with Πιπέρι and Αλάτι","123. Κοτόπουλο με Πιπέρι και Αλάτι","Καυτερό","Καυτερό","Καυτερό","11.9","","true","12004"
"鸡肉","Chicken","ΚΟΤΟΠΟΥΛΟ","124. 鸡肉 Sichuan","124. Chicken Sichuan","124. Κοτόπουλο Sichuan","","","","12.9","","true","12005"
"鸡肉","Chicken","ΚΟΤΟΠΟΥΛΟ","125. 鸡肉 配 Λεμόνι","125. Chicken with Λεμόνι","125. Κοτόπουλο με Λεμόνι","","","","11.9","","true","12006"
"鸡肉","Chicken","ΚΟΤΟΠΟΥΛΟ","126. 鸡肉 配 蔬菜","126. Chicken with Vegetables","126. Κοτόπουλο με Λαχανικά","","","","11.9","","true","12007"
"鸡肉","Chicken","ΚΟΤΟΠΟΥΛΟ","127. 鸡肉 配 咖喱","127. Chicken with Curry","127. Κοτόπουλο με Κάρυ","","","","11.9","","true","12008"
"鸡肉","Chicken","ΚΟΤΟΠΟΥΛΟ","128. 鸡肉 配 酱 Στρειδιών","128. Chicken with Sauce Στρειδιών","128. Κοτόπουλο με Σάλτσα Στρειδιών","","","","11.9","","true","12009"
"鸡肉","Chicken","ΚΟΤΟΠΟΥΛΟ","129. 鸡肉 糖醋","129. Chicken Sweet and Sour","129. Κοτόπουλο Γλυκόξινο","","","","11.9","https://wolt-menu-images-cdn.wolt.com/menu-images/613a080471a7ebf726042884/3b883956-1b71-11ec-980b-e252303437ee_wok15.jpeg","true","12010"
"鸡肉","Chicken","ΚΟΤΟΠΟΥΛΟ","130. 鸡肉 配 Μπρόκολο","130. Chicken with Μπρόκολο","130. Κοτόπουλο με Μπρόκολο","","","","11.9","https://imageproxy.wolt.com/assets/693893cf3bbac3ed7f83bd7b","true","12011"
"鸡肉","Chicken","ΚΟΤΟΠΟΥΛΟ","131. 鸡肉 配 Chili","131. Chicken with Chili","131. Κοτόπουλο με Chili","","","","12.9","","true","12012"
"猪肉","Pork","ΧΟΙΡΙΝΟ","151. 猪肉 配 酱 Kung Pao","151. Pork with Sauce Kung Pao","151. Χοιρινό με Σάλτσα Kung Pao","Καυτερό","Καυτερό","Καυτερό","11.9","","true","13001"
"猪肉","Pork","ΧΟΙΡΙΝΟ","152. 猪肉 配 酱 Thai","152. Pork with Sauce Thai","152. Χοιρινό με Σάλτσα Thai","Καυτερό","Καυτερό","Καυτερό","11.9","","true","13002"
"猪肉","Pork","ΧΟΙΡΙΝΟ","153. 猪肉 配 酱 Μαύρων Φασολιών","153. Pork with Sauce Μαύρων Φασολιών","153. Χοιρινό με Σάλτσα Μαύρων Φασολιών","","","","11.9","","true","13003"
"猪肉","Pork","ΧΟΙΡΙΝΟ","154. 猪肉 配 Πιπέρι 和 Αλάτι","154. Pork with Πιπέρι and Αλάτι","154. Χοιρινό με Πιπέρι και Αλάτι","Καυτερό","Καυτερό","Καυτερό","11.9","","true","13004"
"猪肉","Pork","ΧΟΙΡΙΝΟ","155. 猪肉 Sichuan","155. Pork Sichuan","155. Χοιρινό Sichuan","","","","12.9","","true","13005"
"猪肉","Pork","ΧΟΙΡΙΝΟ","156. 猪肉 烤","156. Pork Roasted","156. Χοιρινό Ψητό","Ξεροψημένο","Ξεροψημένο","Ξεροψημένο","15.9","https://wolt-menu-images-cdn.wolt.com/menu-images/613a080471a7ebf726042884/684022c4-1b71-11ec-83da-5691f154b5b4_wok17.jpeg","true","13006"
"猪肉","Pork","ΧΟΙΡΙΝΟ","157. 猪肉 配 蔬菜","157. Pork with Vegetables","157. Χοιρινό με Λαχανικά","","","","11.9","https://wolt-menu-images-cdn.wolt.com/menu-images/613a080471a7ebf726042884/29b65b5a-1b70-11ec-8411-e252303437ee_wok1.jpeg","true","13007"
"猪肉","Pork","ΧΟΙΡΙΝΟ","158. 猪肉 配 咖喱","158. Pork with Curry","158. Χοιρινό με Κάρυ","","","","11.9","","true","13008"
"猪肉","Pork","ΧΟΙΡΙΝΟ","159. 猪肉 配 酱 Στρειδιών","159. Pork with Sauce Στρειδιών","159. Χοιρινό με Σάλτσα Στρειδιών","","","","11.9","","true","13009"
"猪肉","Pork","ΧΟΙΡΙΝΟ","160. 猪肉 糖醋","160. Pork Sweet and Sour","160. Χοιρινό Γλυκόξινο","","","","11.9","","true","13010"
"猪肉","Pork","ΧΟΙΡΙΝΟ","161. 猪肉 Tja Sieuw","161. Pork Tja Sieuw","161. Χοιρινό Tja Sieuw","","","","15.9","","true","13011"
"猪肉","Pork","ΧΟΙΡΙΝΟ","162. Γλυκόξινα Παϊδάκια","162. Γλυκόξινα Παϊδάκια","162. Γλυκόξινα Παϊδάκια","Κομμένα σε μπουκιές 配 mix λαχανικών 和 sauce","Κομμένα σε μπουκιές with mix λαχανικών and sauce","Κομμένα σε μπουκιές με mix λαχανικών και sauce","13.5","","true","13012"
"猪肉","Pork","ΧΟΙΡΙΝΟ","163. 猪肉 Παϊδάκια 配 Αλάτι 和 Πιπέρι","163. Pork Παϊδάκια with Αλάτι and Πιπέρι","163. Χοιρινά Παϊδάκια με Αλάτι και Πιπέρι","Κομμένα σε μπουκιές 配 mix λαχανικών 和 sauce","Κομμένα σε μπουκιές with mix λαχανικών and sauce","Κομμένα σε μπουκιές με mix λαχανικών και sauce","13.5","","true","13013"
"猪肉","Pork","ΧΟΙΡΙΝΟ","164. 猪肉 Παϊδάκια 配 Ζάχαρη 和 Ξύδι","164. Pork Παϊδάκια with Ζάχαρη and Ξύδι","164. Χοιρινά Παϊδάκια με Ζάχαρη και Ξύδι","Κομμένα σε μπουκιές 配 sauce","Κομμένα σε μπουκιές with sauce","Κομμένα σε μπουκιές με sauce","13.5","https://wolt-menu-images-cdn.wolt.com/menu-images/613a080471a7ebf726042884/e8fa5f42-1b71-11ec-925e-e252303437ee_wok24.jpeg","true","13014"
"猪肉","Pork","ΧΟΙΡΙΝΟ","165. 炒/炸 猪肉 Παϊδάκια","165. Fried Pork Παϊδάκια","165. Τηγανητά Χοιρινά Παϊδάκια","Κομμένα σε μπουκιές 配 mix λαχανικών 和 sauce","Κομμένα σε μπουκιές with mix λαχανικών and sauce","Κομμένα σε μπουκιές με mix λαχανικών και sauce","13.5","","true","13015"
"猪肉","Pork","ΧΟΙΡΙΝΟ","166. 猪肉 Mei Cai Kou Rou","166. Pork Mei Cai Kou Rou","166. Χοιρινό Mei Cai Kou Rou","","","","18.9","","true","13016"
"猪肉","Pork","ΧΟΙΡΙΝΟ","167. 猪肉 配 Chilli","167. Pork with Chilli","167. Χοιρινό με Chilli","","","","12.9","","true","13017"
"海鲜","Seafood","ΘΑΛΑΣΣΙΝΑ","170. 虾 配 Μπρόκολο","170. Shrimp with Μπρόκολο","170. Γαρίδες με Μπρόκολο","","","","15.9","https://wolt-menu-images-cdn.wolt.com/menu-images/613a080471a7ebf726042884/4169e436-1b72-11ec-87d7-622ab477fd83_wok28.jpeg","true","14001"
"海鲜","Seafood","ΘΑΛΑΣΣΙΝΑ","171. Ο配λέτα 配 虾","171. Οwithλέτα with Shrimp","171. Ομελέτα με Γαρίδες","","","","16.9","","true","14002"
"海鲜","Seafood","ΘΑΛΑΣΣΙΝΑ","172. 虾 配 Ανά配ικτα 蔬菜","172. Shrimp with Ανάwithικτα Vegetables","172. Γαρίδες με Ανάμεικτα Λαχανικά","","","","15.9","","true","14003"
"海鲜","Seafood","ΘΑΛΑΣΣΙΝΑ","173. 虾 配 酱 Thai","173. Shrimp with Sauce Thai","173. Γαρίδες με Σάλτσα Thai","Καυτερό","Καυτερό","Καυτερό","15.9","","true","14004"
"海鲜","Seafood","ΘΑΛΑΣΣΙΝΑ","174. 虾 配 酱 咖喱","174. Shrimp with Sauce Curry","174. Γαρίδες με Σάλτσα Κάρυ","","","","15.9","","true","14005"
"海鲜","Seafood","ΘΑΛΑΣΣΙΝΑ","175. 虾 Γλυκόξινες","175. Shrimp Γλυκόξινες","175. Γαρίδες Γλυκόξινες","","","","15.9","","true","14006"
"海鲜","Seafood","ΘΑΛΑΣΣΙΝΑ","176. 虾 配 Πιπέρι 和 Αλάτι","176. Shrimp with Πιπέρι and Αλάτι","176. Γαρίδες με Πιπέρι και Αλάτι","Καυτερό","Καυτερό","Καυτερό","18.9","","true","14007"
"海鲜","Seafood","ΘΑΛΑΣΣΙΝΑ","177. 虾 στον Ατμό 配 蒜","177. Shrimp στον Ατμό with Garlic","177. Γαρίδες στον Ατμό με Σκόρδο","","","","18.9","","true","14008"
"海鲜","Seafood","ΘΑΛΑΣΣΙΝΑ","178. 虾 στον Ατμό","178. Shrimp στον Ατμό","178. Γαρίδες στον Ατμό","","","","18.9","","true","14009"
"海鲜","Seafood","ΘΑΛΑΣΣΙΝΑ","179. Καλαμάρι 配 酱 咖喱","179. Καλαμάρι with Sauce Curry","179. Καλαμάρι με Σάλτσα Κάρυ","","","","15.9","","true","14010"
"海鲜","Seafood","ΘΑΛΑΣΣΙΝΑ","180. Καλαμάρι 配 酱 Thai","180. Καλαμάρι with Sauce Thai","180. Καλαμάρι με Σάλτσα Thai","Καυτερό","Καυτερό","Καυτερό","15.9","","true","14011"
"海鲜","Seafood","ΘΑΛΑΣΣΙΝΑ","181. Τσιπούρα Τηγανητή","181. Τσιπούρα Τηγανητή","181. Τσιπούρα Τηγανητή","","","","29","","true","14012"
"海鲜","Seafood","ΘΑΛΑΣΣΙΝΑ","182. Τσιπούρα στον Ατμό","182. Τσιπούρα στον Ατμό","182. Τσιπούρα στον Ατμό","","","","29","","true","14013"
"海鲜","Seafood","ΘΑΛΑΣΣΙΝΑ","183. Λαυράκι 炒/炸","183. Λαυράκι Fried","183. Λαυράκι Τηγανητό","","","","29","","true","14014"
"海鲜","Seafood","ΘΑΛΑΣΣΙΝΑ","184. Λαυράκι στον Ατμό","184. Λαυράκι στον Ατμό","184. Λαυράκι στον Ατμό","","","","29","","true","14015"
"海鲜","Seafood","ΘΑΛΑΣΣΙΝΑ","185. Suan Cai Yu Soup","185. Suan Cai Yu Soup","185. Suan Cai Yu Soup","Μεγάλο μέγεθος","Μεγάλο μέγεθος","Μεγάλο μέγεθος","35","","true","14016"
"海鲜","Seafood","ΘΑΛΑΣΣΙΝΑ","186. 汤 Ψαριού 配 Chili","186. Soup Ψαριού with Chili","186. Σούπα Ψαριού με Chili","Μεγάλο μέγεθος","Μεγάλο μέγεθος","Μεγάλο μέγεθος","35","","true","14017"
"海鲜","Seafood","ΘΑΛΑΣΣΙΝΑ","189. Καλαμάρι 配 Αλάτι 和 Πιπέρι Καυτερό","189. Καλαμάρι with Αλάτι and Πιπέρι Καυτερό","189. Καλαμάρι με Αλάτι και Πιπέρι Καυτερό","","","","15.9","","true","14018"
"砂锅菜","Clay Pot Dishes","ΠΙΑΤΑ ΣΕ ΠΗΛΙΝΟ","210. 炒/炸 Tofu 配 蔬菜","210. Fried Tofu with Vegetables","210. Τηγανητό Tofu με Λαχανικά","","","","14.9","","true","15001"
"砂锅菜","Clay Pot Dishes","ΠΙΑΤΑ ΣΕ ΠΗΛΙΝΟ","211. 牛肉 Goulash 配 Κινέζικα Καρότα","211. Beef Goulash with Κινέζικα Καρότα","211. Μοσχάρι Goulash με Κινέζικα Καρότα","","","","17.9","","true","15002"
"砂锅菜","Clay Pot Dishes","ΠΙΑΤΑ ΣΕ ΠΗΛΙΝΟ","212. 牛肉 Goulash 配 Tofu","212. Beef Goulash with Tofu","212. Μοσχάρι Goulash με Tofu","","","","17.9","","true","15003"
"砂锅菜","Clay Pot Dishes","ΠΙΑΤΑ ΣΕ ΠΗΛΙΝΟ","213. 牛肉 Goulash 配 酱 咖喱","213. Beef Goulash with Sauce Curry","213. Μοσχάρι Goulash με Σάλτσα Κάρυ","","","","17.9","","true","15004"
"砂锅菜","Clay Pot Dishes","ΠΙΑΤΑ ΣΕ ΠΗΛΙΝΟ","214. 炒/炸 Tofu 配 Τραγανό 猪肉","214. Fried Tofu with Τραγανό Pork","214. Τηγανητό Tofu με Τραγανό Χοιρινό","","","","17.9","","true","15005"
"砂锅菜","Clay Pot Dishes","ΠΙΑΤΑ ΣΕ ΠΗΛΙΝΟ","215. 炒/炸 Tofu 配 海鲜","215. Fried Tofu with Seafood","215. Τηγανητό Tofu με Θαλασσινά","","","","17.9","https://wolt-menu-images-cdn.wolt.com/menu-images/613a080471a7ebf726042884/0c5d3324-1b72-11ec-840f-5691f154b5b4_wok25.jpeg","true","15006"
"砂锅菜","Clay Pot Dishes","ΠΙΑΤΑ ΣΕ ΠΗΛΙΝΟ","216. Μελιτζάνες 配 猪肉","216. Μελιτζάνες with Pork","216. Μελιτζάνες με Χοιρινό","","","","15.9","","true","15007"
"砂锅菜","Clay Pot Dishes","ΠΙΑΤΑ ΣΕ ΠΗΛΙΝΟ","217. 炒/炸 Tofu 配 Κεφάλια Ψαριών","217. Fried Tofu with Κεφάλια Ψαριών","217. Τηγανητό Tofu με Κεφάλια Ψαριών","","","","16.9","","true","15008"
"蒸饭盖饭","Rice Plates","ΠΙΑΤΑ ΜΕ ΡΥΖΙ ΑΤΜΟΥ","135. 烤 鸭肉 和 米饭 Ατμού","135. Roasted Duck and Rice Ατμού","135. Ψητή Πάπια και Ρύζι Ατμού","","","","16.5","https://wolt-menu-images-cdn.wolt.com/menu-images/613a080471a7ebf726042884/6f243692-1b72-11ec-9fcf-622ab477fd83_wok30.jpeg","true","16001"
"蒸饭盖饭","Rice Plates","ΠΙΑΤΑ ΜΕ ΡΥΖΙ ΑΤΜΟΥ","136. 烤 猪肉 Tja Sieuw 和 米饭 Ατμού","136. Roasted Pork Tja Sieuw and Rice Ατμού","136. Ψητό Χοιρινό Tja Sieuw και Ρύζι Ατμού","","","","15.9","","true","16002"
"蒸饭盖饭","Rice Plates","ΠΙΑΤΑ ΜΕ ΡΥΖΙ ΑΤΜΟΥ","137. 烤 Τραγανό 猪肉 和 米饭 Ατμού","137. Roasted Τραγανό Pork and Rice Ατμού","137. Ψητό Τραγανό Χοιρινό και Ρύζι Ατμού","","","","15.9","","true","16003"
"蒸饭盖饭","Rice Plates","ΠΙΑΤΑ ΜΕ ΡΥΖΙ ΑΤΜΟΥ","138. Ανά配ικτα 蔬菜 和 米饭 Ατμού","138. Ανάwithικτα Vegetables and Rice Ατμού","138. Ανάμεικτα Λαχανικά και Ρύζι Ατμού","","","","11.9","","true","16004"
"蒸饭盖饭","Rice Plates","ΠΙΑΤΑ ΜΕ ΡΥΖΙ ΑΤΜΟΥ","139. 牛肉 Goulash 和 米饭 Ατμού","139. Beef Goulash and Rice Ατμού","139. Μοσχάρι Goulash και Ρύζι Ατμού","","","","15.9","","true","16005"
"素食","Vegetarian","VEGETERIAN","220. Ανά配ικτα 蔬菜 配 Kung Pao Sauce","220. Ανάwithικτα Vegetables with Kung Pao Sauce","220. Ανάμεικτα Λαχανικά με Kung Pao Sauce","Spicy","Spicy","Spicy","8.9","","true","17001"
"素食","Vegetarian","VEGETERIAN","221. Ανά配ικτα 蔬菜 配 Thai Sauce","221. Ανάwithικτα Vegetables with Thai Sauce","221. Ανάμεικτα Λαχανικά με Thai Sauce","Spicy","Spicy","Spicy","8.9","","true","17002"
"素食","Vegetarian","VEGETERIAN","222. Ανά配ικτα 蔬菜 配 Black Bean Sauce","222. Ανάwithικτα Vegetables with Black Bean Sauce","222. Ανάμεικτα Λαχανικά με Black Bean Sauce","","","","8.9","","true","17003"
"素食","Vegetarian","VEGETERIAN","223. Ανά配ικτα 蔬菜 配 Curry Sauce","223. Ανάwithικτα Vegetables with Curry Sauce","223. Ανάμεικτα Λαχανικά με Curry Sauce","","","","8.9","","true","17004"
"素食","Vegetarian","VEGETERIAN","224. Ανά配ικτα 蔬菜 配 Oyster Sauce","224. Ανάwithικτα Vegetables with Oyster Sauce","224. Ανάμεικτα Λαχανικά με Oyster Sauce","","","","8.9","","true","17005"
"素食","Vegetarian","VEGETERIAN","225. Ανά配ικτα 蔬菜 配 Sweet and Sour Sauce","225. Ανάwithικτα Vegetables with Sweet and Sour Sauce","225. Ανάμεικτα Λαχανικά με Sweet and Sour Sauce","","","","8.9","","true","17006"
"素食","Vegetarian","VEGETERIAN","226. Ανά配ικτα 蔬菜 配 Tofu","226. Ανάwithικτα Vegetables with Tofu","226. Ανάμεικτα Λαχανικά με Tofu","","","","9.5","","true","17007"
"素食","Vegetarian","VEGETERIAN","228. Κινέζικο Λάχανο","228. Κινέζικο Λάχανο","228. Κινέζικο Λάχανο","","","","9.5","","true","17008"
"素食","Vegetarian","VEGETERIAN","229. 炒/炸 Αγγούρι 配 蒜","229. Fried Αγγούρι with Garlic","229. Τηγανητό Αγγούρι με Σκόρδο","","","","8.9","","true","17009"
"素食","Vegetarian","VEGETERIAN","230. Μπρόκολο 配 酱 Στρειδιών","230. Μπρόκολο with Sauce Στρειδιών","230. Μπρόκολο με Σάλτσα Στρειδιών","","","","9.5","","true","17010"
"素食","Vegetarian","VEGETERIAN","231. 炒/炸 Tofu 配 糖醋 酱","231. Fried Tofu with Sweet and Sour Sauce","231. Τηγανητό Tofu με Γλυκόξινη Σάλτσα","","","","9.9","","true","17011"
"素食","Vegetarian","VEGETERIAN","232. 炒/炸 Tofu","232. Fried Tofu","232. Τηγανητό Tofu","","","","9.9","","true","17012"
"素食","Vegetarian","VEGETERIAN","233. Mapo Tofu","233. Mapo Tofu","233. Mapo Tofu","","","","10.9","https://wolt-menu-images-cdn.wolt.com/menu-images/613a080471a7ebf726042884/535004c8-1b72-11ec-986e-8aa3e0d61abd_wok29.jpeg","true","17013"
"素食","Vegetarian","VEGETERIAN","234. Τηγανητή Μελιτζάνα","234. Τηγανητή Μελιτζάνα","234. Τηγανητή Μελιτζάνα","","","","10.9","","true","17014"
"素食","Vegetarian","VEGETERIAN","235. 炒/炸 Φασολάκια 配 蒜","235. Fried Φασολάκια with Garlic","235. Τηγανητά Φασολάκια με Σκόρδο","","","","10.9","https://wolt-menu-images-cdn.wolt.com/menu-images/613a080471a7ebf726042884/31278e66-1b72-11ec-ad78-5691f154b5b4_wok27.jpeg","true","17015"
"素食","Vegetarian","VEGETERIAN","237. Bλαστάρια Φασολιών","237. Bλαστάρια Φασολιών","237. Bλαστάρια Φασολιών","","","","9.9","","true","17016"
"素食","Vegetarian","VEGETERIAN","238. Κινεζικές Τηγανητές Πατάτες","238. Κινεζικές Τηγανητές Πατάτες","238. Κινεζικές Τηγανητές Πατάτες","Καυτερό","Καυτερό","Καυτερό","9.9","","true","17017"
"素食","Vegetarian","VEGETERIAN","239. Πράσινα 蔬菜 Shanghai","239. Πράσινα Vegetables Shanghai","239. Πράσινα Λαχανικά Shanghai","","","","9.9","","true","17018"
"素食","Vegetarian","VEGETERIAN","240. Τηγανητές Ντομάτες 配 鸡蛋","240. Τηγανητές Ντομάτες with Eggs","240. Τηγανητές Ντομάτες με Αυγά","","","","10.9","","true","17019"
